sentence,label
FADE IN:,0
EXT.,5
CARIBBEAN SEA,5
DAY,6
"A gray, impenetrable wall of fog.",1
"From somewhere comes the FAINT SOUND of a LITTLE GIRL'S VOICE, singing, slow tempo, almost under her breath.",1
YOUNG ELIZABETH,2
"Yo, ho, yo, ho, a pirate's life for me Yo, ho, yo, ho, it's a pirate's life for me...",3
"Suddenly a massive SHIP emerges from the grey, the Winged Victory maidenhead looming.",1
"It's a British dreadnought, the H.M.S.",1
Dauntless.,1
"Formidable, frightening, twenty-five gun ports on a side, and rail guns to boot.",1
EXT.,5
H.M.S. DAUNTLESS - FORECASTLE,5
DAY,6
"ELIZABETH SWANN, strawberry blond hair, stands at the bow railing, gazing at the seas, still singing --",1
ELIZABETH,2
"...drink up me hearties, yo, ho...",3
"JOSHAMEE GIBBS, who was born old, skin a dark leather, clutches her shoulder, startling her.",1
GIBBS,2
(sotto),4
"Quiet, missy!",3
Cursed pirates sail these waters.,3
You want to call 'em down on us?,3
Elizabeth stares wide-eyed at him.,1
NORRINGTON,2
Mr. Gibbs.,3
"NORRINGTON, a dashing young man, Royal Navy to the core, glares sternly at Gibbs.",1
"Standing besides him is GOVERNOR WEATHERBY SWAN, a man of obvious high station, brass buttons on his thick blue jacket.",1
He is Elizabeth's father.,1
NORRINGTON,2
That will do.,3
GIBBS,2
She was singing about pirates.,3
"Bad luck to sing about pirates, with us mired in this unnatural fog mark my words.",3
NORRINGTON,2
Consider them marked.,3
On your way.,3
GIBBS,2
"Aye, Captain.",3
(as he moves off),4
"Bad luck to have a woman on board, too.",3
Even a mini'ture one.,3
"He returns to his deck-swabbing duties, surreptitiously takes a quick swig from flask.",1
ELIZABETH,2
I think it would be rather exciting to meet a pirate.,3
NORRINGTON,2
"Think again, Miss Swan.",3
"Vile and dissolute creatures, the lot of them.",3
"I intend to see to it that any man who sails under a pirate flag, or wears a pirates brand, gets what he deserves: a short drop and a sudden stop.",3
Elizabeth doesn't know what 'a short drop and a sudden stop' means.,1
Gibbs helpfully mimes: a man being hung.,1
SWAN,2
Captain Norrington...,3
"I appreciate your fervor, but I am concerned about the effect this subject will have on my daughter.",3
NORRINGTON,2
"My apologies, Governor.",3
ELIZABETH,2
"Actually, I find it all fascinating.",3
SWAN,2
And that's what concerns me.,3
"Elizabeth, dear... we will be landing in Port Royal very soon, and beginning our new lives.",3
Wouldn't it be wonderful if we comport ourselves as befits our class and station?,3
ELIZABETH,2
"Yes, father.",3
"Chastised, she turns away, to look out over the bow rail.",1
ELIZABETH,2
(to herself),4
I still think it would be exciting to meet a pirate...,3
"The fog still hems in the ship; very little of the sea is visible but suddenly, a FIGURE comes into view.",1
"A young boy, WILL TURNER, floating on his back in the otherwise empty water.",1
"There is nothing to show where he came from, or how he came to be there.",1
ELIZABETH,2
Look!,3
A boy!,3
In the water!,3
Norrington and Swann spot him --,1
NORRINGTON,2
Man overboard!,3
ELIZABETH,2
Boy overboard!,3
NORRINGTON,2
Fetch a hook!,3
Haul him out of there!,3
Quick movement and activity on the deck.,1
Sailors use a boathook to snag the boy he the passes.,1
"Norrington and Swann haul him aboard, and lay him on the deck.",1
Elizabeth sidles in for a closer look.,1
NORRINGTON,2
He's still breathing.,3
SWAN,2
Where did he come from?,3
GIBBS,2
