SWORDFISH by,0
Skip Woods,0
01-Jan,0
Final Production Draft,0
FOR EDUCATIONAL,0
PURPOSES ONLY,0
1   BLACKNESS                                                     1,0
We hear OVER..,1
GABRIEL (V.O.),2
You know the problem with,3
Hollywood? They make shit,3
"Unbelievable, unremarkable shit",3
I'm not some grungy filmmaker- wannabee searching for existentialism through a haze of bong-smoke,3
"It's easy to pick apart bad acting, short-sighted directing, or the purely moronic stringing together of words many of the studios term as prose",3
"No,",3
I'm talking the lack of realism,3
Realism,3
Not a pervasive element in the modern American cinematic vision,3
FADE IN:,0
INT,0
STARBUCKS COFFEE SHOP,5
MORNING,6
Three men sit at a window booth drinking coffee and talking,1
Two of the men sit on one side of the table,1
"STANLEY is in his early thirties, AGENT ROBERTS, early forties",1
"Both wear suits, the younger's is fairly expensive and well cut, the other's is polyester, enough said",1
"The MAN across, however, is quite different",1
"He is what they used to call a ""cool-cat.""",1
GABRIEL (MAN),2
Take Dog Day Afternoon for example,3
"Arguably Pacino's greatest performance, excepting",3
"The Godfather, Part I, and",3
"Scarface, of course",3
"A masterpiece of directing, easily",3
Lumet's best,3
"The acting, the script, cinematography, all top notch",3
"But, they didn't push the envelope",3
"What if in Dog Day,",3
"Sonny really wanted to get away with it? What if, and here's where it gets tricky",3
What if they'd started killing hostages?,3
"No mercy, no quarter, meet our demands or the cute blonde in the bell bottoms gets one in the back of the head, bam, splatter",3
What?,3
Still no bus?,3
(MORE),4
(CONTINUED),4
2,0
1   CONTINUED:                                                      1,0
GABRIEL (CONT'D),2
How many innocent victims would they let get sprayed across the windows before the city reversed its policy on hostage situations?,3
And this was 1976,3
No C.N.N,3
", no",3
", no M.T.V",3
No Internet,3
"Fast forward to the present, same situation",3
Can you imagine the feeding frenzy of the modern media? In hours it would be the top story from Boston to Budapest,3
"All caught in 150 millimeter zoom, computer enhanced, and color corrected",3
You would practically taste the brain matter,3
Six hostages die,3
Ten,3
Twelve,3
Twenty,3
Thirty,3
Relentless,3
One after another,3
"All over a bus, a plane, and a couple of million dollars that were federally insured",3
"He sits, letting the pictures sink in, then",1
GABRIEL,2
Just a thought,3
"I mean it's not really within the realm of conventional cinema, but what if..?",3
ROBERTS,2
"You know, this movie of yours, I don't think it would have worked",3
GABRIEL,2
Really?   How come?,3
ROBERTS,2
(shrugs),4
Audiences love happy endings,3
GABRIEL,2
Pacino escapes,3
With the money,3
Boyfriend gets the sex change operation,3
They live happily ever after,3
Stanley shakes his head,1
GABRIEL,2
No?,3
(CONTINUED),4
3,0
1   CONTINUED:    (2)                                              1,0
STANLEY,2
No,3
GABRIEL,2
Homophobia?,3
Stanley shakes his head,1
STANLEY,2
Bad guy can't win,3
It's a morality tale,3
"One way or the other, he's gotta go down",3
GABRIEL,2
"Oh, well",3
Life does tend to be stranger than fiction,3
(looking at watch),4
"Well, guys, gotta jet",3
This place is kinda dead,3
CAMERA PANS AROUND the coffee shop,1
Not a soul in the place,1
"We CONTINUE TO PAN AROUND 270 DEGREES TO the front door, which is open",1
"Outside the open doorway are crouched a squad of heavily body-armored SWAT members, packed together, and aiming automatic weapons inside",1
ANGLE ON GABRIEL,1
GABRIEL,2
Thanks for the coffee,3
He gets up,1
"In his left hand, which has been hidden by the table until now, he is holding a strange-looking spring-loaded grip",1
Gabriel is looking back at them,1
Smiles,1
GABRIEL,2
Rene Descartes is sitting in some bar in Paris,3
"Bartender says,",3
"'Hey, you want another drink?'",3
"Descartes says, 'I think not'",3
And disappears,3
"He smiles at his own joke, then turns and walks over to the front door",1
GABRIEL,2
Move,3
No one even twitches,1
GABRIEL,2
I won't ask again,3
(CONTINUED),4
4,0
1   CONTINUED:    (3)                                             1,0
He lifts up the device in his left hand,1
ANGLE ON ROBERTS who nods his head,1
"The SWAT team moves back, letting",1
Gabriel out of the coffee shop,1
GABRIEL,2
Thank you,3
Gabriel looks back at Stan sitting in the booth,1
GABRIEL,2
Stanley.. you coming?,3
Stan slides from the booth as Gabriel exits the coffee shop --,1
2   EXT,0
STARBUCKS COFFEE SHOP,5
DAY  ,6
SILENCE -- no sounds on the SOUNDTRACK,1
Gabriel and Stanley stop just outside the doorway,1
"Gabriel dons a pair of hip little shades, then continues across the sidewalk and into the street",1
He nonchalantly looks up,1
Suddenly the THUMP of,1
HELICOPTERS and the WAIL of SIRENS dominates the soundtrack,1
Pandemonium,1
"HELICOPTERS RIP the sky, L.A. County PD and a bunch of news vultures",1
"Squad cars block off both ends of the street while SWAT trucks, news vans, and looky- loos are packed together into the distance",1
Sharpshooters lean out of windows and snipers are positioned on every open rooftop,1
"Hundreds of weapons are pointed at this man who saunters across the street as if he's on his way to Sunday service, without a care in the world",1
"Slowly, Stanley follows Gabriel into the street",1
"Gabriel steps up on the far sidewalk, a huge armored bus blocks most of the windows",1
"He walks beside the bus, under a huge ""WORLD BANC"" sign, and through the glass front door, which shuts IN OUR FACE",1
3   INT,0
BANK,5
CLOSEUP                         3,6
GABRIEL,2
DAY,6
He turns away from the window and we FOLLOW him,1
(CONTINUED),4
5,0
3   CONTINUED:                                                        3,0
The interior of the bank looks like New Orleans on Fat,1
Tuesday,1
"Three Hummers sit in the middle of the floor, surrounded by broken glass",1
Between them rests a bright red Ferrari F50 (Gabriel's),1
"All but one of the front windows of the bank, the one with the door in it, has been welded over with 3/4 inch plate steel",1
"Over two dozen hostages lie face down on the floor, arms cable-tied behind their backs",1
Something has been duct- taped around their chests and each is wearing what appears to be a dog collar,1
The other occupants of the room are nine men,1
All of whom would look as if they were attending the fashion event of the year were it not for the automatic weapons each one carries,1
GABRIEL,2
How we doin'?,3
"One of the ARMED MEN finishes putting a collar on a young, normally good-looking-but-now-covered-in-mascara, whimpering blonde girl",1
MARCO (ARMED MAN),2
Done,3
GABRIEL,2
Good,3
Take her out,3
"SUPERIMPOSE:    FRIDAY, OCTOBER 18     8:41:22...",1
The front door opens and one of the suited men drags out the pretty blonde from earlier,1
She is sobbing and is in such grief she can't even walk,1
4   EXT,0
BANK,5
DAY ,6
"On the sidewalk, the suited man, his automatic weapon slung, holds her up for everyone to see",1
5   INT,0
BANK,5
DAY,6
Gabriel grabs his cell and dials,1
6   INT,0
STARBUCKS COFFEE SHOP,5
DAY,6
Roberts sits in the Starbucks which has been transformed into a high-tech command center reading a newspaper,1
(CONTINUED),4
6,0
6   CONTINUED:                                                       6,0
We cannot see the headlines,1
Federal and state officers scramble around handling problems,1
The PHONE RINGS,1
"Assistant Director Bill Joy (A.D. JOY), an older-looking guy who looks more like an accountant than an assistant director of the FBI, is handed the phone",1
A.D. JOY,2
Is everyone in position?,3
SWAT LEADER,2
"Almost, sir",3
ROBERTS,2
(looks up from paper),4
What are you doing?,3
We PAN AROUND,1
A.D. JOY,2
(to SWAT LEADER),4
Get her at your first opportunity,3
SWAT LEADER,2
(into mike),4
High ground one and two,3
You have a green light,3
ROBERTS,2
I've seen what this man is capable of --,3
A.D. JOY,2
The F.B.I does not negotiate with terrorists,3
I assumed you'd be aware of that,3
(answering phone),4
Joy,3
Roberts picks up an extension,1
GABRIEL (V.O.),2
"Don't talk, listen..",3
"When I made my Dog Day Afternoon analogy, I was not speaking metaphorically",3
We have 22 hostages,3
Each has been wrapped with 20 pounds of,3
C-four explosives,3
CUT TO:,0
7,0
7    EXT,0
BANK                                                       7,5
SWAT guys making their way to the roof of the bank,1
GABRIEL (V.O.),2
On top of that we have taped 15 pounds of stainless steel ball bearings --,3
8    INT,0
BANK,5
 ANGLE ON GABRIEL ,1
GABRIEL,2
-- making them the world's largest walking Claymore mines,3
CUT TO:,0
9    EXT,0
BANK,5
SHARPSHOOTERS,1
9 aiming down at Gabriel's merc,1
The merc is holding up the weeping girl so everyone can see what Gabriel is talking about,1
"Unbeknownst to him, red laser aiming dots appear on Gab's merc's chest",1
10   INT,0
BANK,5
DAY ,6
Stanley is being held by two of the well-dressed men,1
CLOSEUP ON GABRIEL,1
GABRIEL,2
Around her neck is a radio- frequency electronic dog collar --,3
11   INT,0
STARBUCKS,5
DAY,6
Roberts stops short as he hears this,1
He and Joy both look at each other,1
12   INT,0
BANK,5
DAY,6
GABRIEL,2
"Dog walks out of his yard, he gets the shit shocked out of him",3
13   INT,0
STARBUCKS,5
DAY,6
"Hearing this, Roberts stands back up",1
(CONTINUED),4
8,0
13   CONTINUED:                                                        13,0
ROBERTS,2
Stop them --,3
"In SLOW MOTION, A.D. Joy jumps for his radio",1
GABRIEL (V.O.),2
Same thing --,3
14   INT,0
BANK - CLOSEUP - GABRIEL - DAY                               14,5
GABRIEL,2
#NAME?,3
"So, don't fuck with me",3
15   EXT,0
BANK,5
SAME TIME,6
SWAT members move into position along the peripheral,1
The merc turns toward them,1
The momentum swings his shouldered weapon upward in SLOW MOTION,1
16   INT,0
STARBUCKS,5
 DAY,6
A.D. JOY,2
(into mike),4
Hold your --,3
17   EXT,0
BANK,5
SAME TIME,6
"The SWAT snipers take this weapon movement as an aggressive act and FIRE into the merc, the BULLETS",1
RIPPING into him,1
He drops,1
"A SWAT-armored vehicle rushes in -- one of the team jumps out, in an attempt to rescue the woman",1
18   INT,0
BANK,5
DAY,6
STANLEY,2
No!   Noooo!!,3
19   EXT,0
BANK,5
DAY ,6
"Hysterical, the hostage runs back toward the bank, confusing the SWAT guy trying to rescue her",1
He reaches for her but she fights him,1
"Finally, he grabs her around the waist and carries her on his shoulder into the street as she screams toward the bank for help",1
(CONTINUED),4
9,0
19   CONTINUED:                                                     19,0
CLOSEUP - HIS FOOT (SLOW MOTION) as he steps off the sidewalk,1
ANGLE ON GIRL (SLOW MOTION),1
She is screaming nooooo!,1
CLOSEUP - HIS FOOT (SLOW MOTION) as it continues its stride,1
CLOSEUP - RADIO DOG COLLAR (SLOW MOTION),1
Around her neck,1
The green light blinks to red,1
BEEP,1
NORMAL SPEED.,1
KABOOM!,1
BALL BEARINGS RICOCHET against the plate steel of the bank,1
20   EXT,0
STARBUCKS COFFEE SHOP,5
 DAY,6
The ball bearings bounce across the street and tap against the coffee shop,1
21   INT,0
STARBUCKS COFFEE SHOP,5
DAY,6
(SLOW MOTION),4
"Everyone in the coffee shop looks at each other like,",1
"""What just happened?""",1
22   EXT,0
STARBUCKS COFFEE SHOP,5
DAY,6
As ball bearings roll back into the street,1
FADE TO BLACK.,0
FADE IN:,0
TITLE SEQUENCE:,0
23   INT,0
CUSTOMS (LAX) - CLOSEUP ON AXL TORVALDS,5
DAY,6
SUPERIMPOSE:,1
3 DAYS EARLIER,6
(CONTINUED),4
10,0
23   CONTINUED:                                                      23,0
AXL TORVALDS enters customs,1
A thirty-something European who could easily pass for a season regular on,1
"""Sprockets.""",1
We PULL BACK,1
Torvalds is watching anxiously as his bags are torn into like Christmas day at the Griswalds,1
The two CUSTOMS AGENTS eye his three laptops suspiciously,1
TORVALDS,2
(heavy Finnish accent),4
Please be careful --,3
#NAME?,1
TORVALDS,2
"(to himself, almost inaudibly)",4
#NAME?,3
Torvalds is wary of time,1
After several moments his bags are being repacked when another passport is found,1
The customs official holds up two passports,1
ANOTHER,1
CUSTOMS OFFICIAL takes them and walks over to Torvalds,1
ANOTHER CUSTOMS OFFICIAL,2
Mr,3
Torvalds,3
"Could you step over here, please",3
Torvalds glances at his watch,1
1,0
45 PM.,1
TORVALDS,2
How long am I going to be delayed?,3
ANOTHER CUSTOMS OFFICIAL,2
It'll be just a moment,3
"Torvalds stands to the side, while two customs officials compare his passports",1
They step over to a computer terminal and punch in some data,1
It's 1,1
50 PM.,1
Torvalds notices a customs department employee wheeling a cart of confiscated items out of a nearby service elevator,1
He pushes the cart out of the oversized elevator,1
Torvalds shoots a glance back to the two officials discussing his situation,1
Torvalds casually picks up his computer case and coolly walks over to the elevator,1
(CONTINUED),4
11,0
23   CONTINUED:    (2)                                                 23,0
Torvalds walks in just as the doors close,1
The customs officials conferring look around,1
Torvalds is gone,1
One of them looks up and sees the numbers changing above the elevator,1
The customs officials race up to the escalator to the --,1
24   INT,0
MEZZANINE LEVEL                                              24,5
Torvalds exits the elevator -- and coolly makes his way to the pedestrian walkway,1
"He's halfway across it, when",1
#NAME?,1
He's finally wrestled to the ground,1
DARK SUIT #2,2
(flipping a badge in Torvalds' face),4
Axl Torvalds,3
You are under arrest,3
CUT TO:,0
25   INT,0
"BOARDROOM (WASHINGTON, D.C.)",5
DAY,6
SENATOR JAMES REISMAN -- R,1
"(Georgia) strides confidently into a small, windowless boardroom",1
SENATOR REISMAN,2
"This better be important, you pulled me out of session",3
"DARWIN KAPLAN, the President's aide and one of the four men in the room, definitely the most intense, smiles thinly",1
KAPLAN,2
"Senator, I wouldn't have asked you to come here if it wasn't",3
The Senator starts to sit down,1
Kaplan turns toward the,1
Senator,1
KAPLAN,2
"Senator, we just received a communication that Axl Torvalds was intercepted entering the continental U.S.",3
(CONTINUED),4
12,0
25   CONTINUED:                                                      25,0
SENATOR REISMAN,2
When?,3
KAPLAN,2
Within the last two hours,3
According to our source inside the,3
F.B.I,3
", he was nabbed coming through customs at L.A.X",3
Alone..,3
SENATOR REISMAN,2
Do they know who they are dealing with?,3
KAPLAN,2
"It is unlikely, sir",3
It was a routine check and Torvalds freaked out,3
They just got lucky,3
SENATOR REISMAN,2
"This ain't good, boys",3
The Vortex has used Torvalds before,3
What do the feds know?,3
KAPLAN,2
Nothing as of yet,3
He's refusing to speak English and the Finnish consulate has already contacted the State Department..,3
SENATOR REISMAN,2
So we haven't been compromised?,3
KAPLAN,2
We're not sure,3
We're working on that right now,3
SENATOR REISMAN,2
"You better get sure real quick, son, 'cause someone's cock's liable to end up on the block on this one",3
And I promise you it won't be mine,3
KAPLAN,2
"Senator, I think we'll be okay here --",3
SENATOR REISMAN,2
"I don't fucking pay you to think,",3
Kaplan,3
I pay you to keep me informed,3
I know the Vortex,3
That's why I voted against using him on American soil,3
(MORE),4
(CONTINUED),4
13,0
25   CONTINUED:    (2)                                               25,0
SENATOR REISMAN (CONT'D),2
It's like using the Ebola virus to cure a cancer patient,3
"Son, what do you think's going to happen if he starts tying up loose ends",3
They look at each other,1
KAPLAN,2
Yessir,3
I understand,3
CUT TO:,0
26   EXT,0
MIDDLE OF NOWHERE - DAY                                    26,5
"We are indeed in the middle of nowhere, no nothing as far as you can see",1
"We CONTINUE TO CRANE UP, a $140,000",1
"Ferrari Modena flies down the road in a cloud of suspended gravel toward Stanley's dilapidated, piece-o'- crap trailer",1
27   EXT,0
TRAILER - ROOF - DAY                                       27,5
"Stan stands on the roof of his trailer, which was a dilapidated shack in the 1950s and now is a lot worse",1
A chained but scruffy-looking Rottweiler runs around in front of the trailer,1
Stan looks completely different than he did in the opening sequence,1
He hasn't taken very good care of himself,1
"His hair is long, and right now standing on end",1
"He is wearing nothing but a dirty towel, and is slicing golf balls off the roof",1
Whack,1
"As the Ferrari drives up he begins hitting golf balls at it, but he just isn't very good",1
"Nevertheless, after a dozen bad hits, a lucky shot ricochets off the aluminum hood",1
CLOSEUP - FERRARI HOOD,1
CLANG!,1
BACK TO SCENE,0
"Stan smiles as the car slides to a halt in the gravel driveway, and turns back to his ""work.""",1
(CONTINUED),4
14,0
27   CONTINUED:                                                     27,0
ANGLE ON STANLEY,1
As we hear the DOOR SHUT and SOMEONE COMES UP the aluminum extension ladder,1
"A few moments later, in SLOW MOTION, GINGER appears at the top of the ladder and steps onto the trailer's roof",1
Stan turns around,1
She is what the hack writers of the Thirties would call a vision,1
Thesauruses could be exhausted searching for adjectives that do her justice,1
"In the low-rent light of Stanley's white trash haven, she is, by definition, a goddess",1
STANLEY,2
Who are you supposed to be?,3
WHACK (slice),1
"She lights a cigarette, inhales deeply, then exhales",1
GINGER,2
"Hello, Stanley",3
She knows his name,1
GINGER,2
I'm Ginger,3
STANLEY,2
Is that right?,3
WHACK (slice),1
GINGER,2
For someone the N.S.A has listed as the most dangerous hacker in,3
"America, you sure don't look like much",3
WHACK (slice),1
GINGER,2
Don't look so surprised,3
"I know everything there is to know about you, Stan",3
From your mom's maiden name to how big your..,3
She glances downward then back up,3
(CONTINUED),4
15,0
27   CONTINUED:    (2)                                               27,0
GINGER,2
Bank account is,3
STANLEY,2
How'd you get past my dog?,3
GINGER,2
(cute),4
Boys like me,3
STANLEY,2
Great,3
What are you selling again?,3
WHACK (slice),1
GINGER,2
Did I say I was selling something?,3
"I'm here to help you, Stan",3
"Look at you, you're a mess",3
WHACK (slice),1
GINGER,2
My employer wants to meet you,3
WHACK (slice),1
GINGER,2
"You're not very good at this, are you?",3
STANLEY,2
You're fucking up my chi,3
GINGER,2
Can I see that?,3
Begrudgingly he hands her the club,1
"She tees up a ball, pulls up her skirt far enough to reveal thong, and whack, hits a ball that Tiger Woods would envy",1
CLANG,1
"She smiles, hands him the club back and pulls down her skirt",1
GINGER,2
You need to straighten your left arm,3
You're bending it,3
He looks at her,1
GINGER,2
Trust me,3
(CONTINUED),4
16,0
27   CONTINUED:    (3)                                               27,0
"He does and the ball goes flying 200 yards, perfect, whacking a fridge with ""200 YARDS"" painted on it",1
CLANG!,1
"Stan looks at the club, then tosses it to the ground, climbing back down an aluminum extension ladder that leads up through a makeshift hatch on the roof",1
28   INT,0
KITCHEN                                                    28,5
She follows but Stan ignores her and walks into his bedroom,1
"She walks over, opens, and reaches into the fridge --",1
GINGER,2
"This is not a nice place you have here, Stanley",3
-- and pulls out a beer --,1
GINGER,2
I've only been here a few minutes and I'm already starting to feel sorry for myself,3
She walks into,1
29   INT,0
LIVING ROOM,5
DAY  ,6
"Stan walks back in, looking for semi-clean clothes",1
STANLEY,2
You're wasting your time,3
"I even touch a computer, I go straight to",3
"Leavenworth, do not pass go, do not collect 200 dollars",3
Whatever,3
I was..,3
"Stanley, pulling on his pants, lets the sentence hang, unfinished",1
He's putting on his shoes,1
"She squats down in front of him, resting her hand on his leg",1
GINGER,2
"Stanley, think about it, they still teach your techniques at",3
M.I.T.,3
"She smiles up at him, then takes a long drink of her beer",1
"Stan stares at her a moment, then..",1
(CONTINUED),4
17,0
29   CONTINUED:                                                     29,0
GINGER,2
"I'm not here to suck your dick,",3
"Stanley, you can sit around doing the martyr thing as long as you like",3
He'll pay you just to meet you,3
STANLEY,2
(smiles),4
I gotta go to work,3
GINGER,2
"Oh that's right, and fine work it is, too",3
(beat),4
Stanley..,3
