,0
""" T E R M I N A T O R "" by",0
James Cameron,0
Registered WGAw,0
Fourth Draft,0
20.Apr.83,0
--------------------------------------------------------------------,0
TERMINATOR,0
A1      TITLE SEQUENCE - SLITSCAN EFFECT                       A1,0
EXT,5
SCHOOLYARD,5
NIGHT,6
Silence,1
Gradually the sound of distant traffic becomes audible,1
A LOW ANGLE bounded on one side by a chain-link fence and on the other by the one-story public school build- ings,1
Spray-can hieroglyphics and distant streetlight sha- dows,1
This is a Los Angeles public school in a blue collar neighborhood.,1
"ANGLE BETWEEN SCHOOL BUILDINGS, where a trash dumpster looms in a LOW ANGLE, part of the clutter behind the gymnasium.",1
A CAT enters FRAME,1
"CAMERA DOLLIES FORWARD, prowling with him through the landscape of trash receptacles and shadows.",1
"CLOSE ON CAT, which freezes, alert, sensing something just beyond human perception.",1
"A sourceless wind rises, and with it a keening WHINE.",1
Papers blow across the pavement.,1
The cat YOWLS and hides under the dumpster.,1
Windows rattle in their frames.,1
"The WHINE intensifies, accompanied now by a wash of frigid",1
PURPLE LIGHT,1
A CONCUSSION like a thunderclap right over- head blows in all the windows facing the yard.,1
C.U,1
#NAME?,1
1A/FX   ANGLE - DUMPSTER                                       1A/FX,0
ELECTRICAL DISCHARGES arc from the dumpster to a water faucet and climb a drain pipe like a Jacob's Ladder.,1
CUT TO:,0
EXT,5
SCHOOLYARD,5
NIGHT,6
SLOW PAN as the sound of stray electrical CRACKLING subsides.,1
"FRAME comes to rest on the figure of a NAKED MAN kneeling, faced away, in the previously empty yard.",1
"He stands, slowly.",1
"The man is in his late thirties, tall and powerfully built, moving with graceful precision.",1
C.U,1
#NAME?,1
His hair is military short.,1
This man is the TERMINATOR.,1
"He glances down, taking calm inventory of himself, and notices that a fine white ash covers his skin",1
"He brushes at it unconcernedly as he walks toward the fence, scanning his surroundings.",1
CUT TO:,0
2A/FX   CRANE SHOT - SCHOOLYARD/CITY - NIGHT                   2A/FX,5
CAMERA MOVES UP as Terminator approaches the schoolyard fence beyond which is an embankment rolling down in darkness to the cityscape below,1
The school is perched at the edge of a pro- montory offering a respectable view of the urban sprawl teem- ing and glistening under a sullen sky,1
"The night clouds are shot through with occasional flashes of LIGHTNING, presaging a thunderstorm.",1
"Terminator stands, hands on hips in prefect symmetry, gazing down at the city as the CAMERA REACHES FULL HEIGHT.",1
CUT TO:,0
EXT,5
PLAYGROUND,5
NIGHT,6
A beer bottle SMASHES on the ground,1
"PULL BACK to include its ex-owner and his two compatriots, YOUTH GANG MEMBERS, lounging on the jungle gym of a deserted playground",1
"They sport nondescript PUNK REGALIA...torn T-shirts, fatigue pants, combat boots or high-top sneakers, leather jackets.",1
The leader notices something and sits up.,1
LEADER,2
(pointing),4
"Hey, hey...what's wrong with this picture?",3
