sentence,label
"In the darkness, we hear the solitary sound of a HEARTBEAT, resounding like a drum.",1
NARRATOR,2
"In between the years when the oceans drank Atlantis and the rise of the Sons of Aryas, there was an age undreamed of, when shining kingdoms lay spread across the world like blue mantles under the stars.",3
"Hither came Conan, the Cimmerian: a thief, a slayer, a king born of battle.",3
"Muffled sounds, as if underwater, echo:",1
"CLANGING swords, the guttural CRIES of combat.",1
UNBORN BABY,2
"Eyes closed, floating at peace within red glow of the womb.",1
"Suddenly, a flash of steel, as a sword pierces the womb, its tip not an inch from the baby's head.",1
"As the sword is ripped out, light streams in from outside, we travel with it, into the DIN of BATTLE.",1
EXT.,5
CIMMERIA,5
MUDDY FIELD,5
DAY,6
"A blonde-haired, armored AESIR RAIDER withdraws the bloody sword from the stomach of ISLENE, a wild-maned Cimmerian beauty, many months pregnant, now clutching her bloody stomach.",1
"Across a muddy battlefield, the air a maelstrom of falling snowflakes and embers from trees aflame, the powerfully built CORIN rallies his fellow CIMMERIANS, until he spots Islene.",1
CORIN,2
Islene!!!,3
"Wielding a broadsword, runes etched into its surface, Corin cuts a bloody path through his enemies, his eyes never leaving Islene.",1
"The Aesir standing over Islene LAUGHS as she claws at the earth behind her, trying to pull herself away.",1
AESIR,2
"Now, now little whore.",3
Did I get you or your little one?,3
Islene's hand reaches back once again -- and it finds a fallen warrior's SWORD.,1
In one fluid motion she swings the sword around her body and drives it into the gap in the Aesir's armor -- at his groin.,1
ISLENE,2
I'd ask you the same.,3
"The Aesir HOWLS in agony, raising his sword to deliver the killing blow -- when another sword pierces his chest.",1
"The Aesir falls, revealing Corin standing behind him.",1
"Corin throws aside his horned helmet, and falls to his knees beside Islene, checking her wound.",1
When he pulls his hands back they are coated in blood.,1
"Their eyes meet, Torment, Loss.",1
They both know.,1
"She pulls a knife from the folds of her pelts, puts it in his hand.",1
ISLENE,2
Take your child.,3
CORIN,2
I cannot.,3
Islene looks to her naked belly.,1
"The baby inside presses against its womb, a visible impression on her flesh.",1
ISLENE,2
"There is no time, husband.",3
I would see my child's face.,3
Islene's eyes flutter as she struggles.,1
Corin lowers the knife.,1
Islene's eyes lock with Corin's as he puts the knife to use.,1
Never once does she scream.,1
"A moment later, Corin lifts the crying, blood-covered BOY up through the falling snowflakes to Islene's lap.",1
ISLENE,2
A boy.,3
He will be strong.,3
A warrior with no equal.,3
CORIN,2
"Do not speak, love.",3
ISLENE,2
"You have never been able to still my tongue, and you will not this day.",3
"He will be wild, Corin.",3
You must temper him.,3
"She shares one kiss with her child, its first taste not of mother's milk, but of her blood.",1
ISLENE,2
(FADING),4
Conan.,3
His--name--is--Conan.,3
CONAN,2
The boy's eyes are as deep and blue as the Eastern Sea.,1
TITLE CARD:,0
CUT TO:,0
EXT.,5
CIMMERIAN VILLAGE,5
DAY,6
"CONAN A small Cimmerian village lies in a heavily forested valley, a redoubt from the icy mountains surrounding it.",1
"Round wooden huts surround a stone-lined pit, where young CIMMERIAN BOYS, ages 12-15 stand.",1
"Pollen drifts through the air, giving it an ethereal haze.",1
"At the center of the pit URAN, an elder Cimmerian warrior speaks.",1
URAN,2
A Cimmerian warrior is like any other man.,3
A Cimmerian warrior feels hunger.,3
He feels cold.,3
Like other men he may lie and cheat.,3
(stares the boys down),3
"But when a Cimmerian warrior hungers, he hungers only for the blood of his enemy.",3
"When he feels cold, it is the cold steel of his sword.",3
"When he lies, he lies in wait for his enemy.",3
"And when he cheats, he cheats death itself!",3
"Uran stops at the end of the line, where a boy stands a good two heads smaller than the rest.",1
"He is no more than eight, but his face is as stoic, driven.",1
URAN,2
Conan!,3
You are too young to be here.,3
Withdraw.,3
"CONAN, determined, doesn't move an inch.",1
The LARGEST TEEN menacingly steps up to the smaller boy.,1
LARGEST TEEN,2
"He said leave, motherless whelp.",3
"The hulking teen goes to shove Conan, but Conan pulls his arm towards him, lashing out with his other hand, punching the teen in the throat.",1
"The large boy goes down hard, hands and knees, gasping for air.",1
"A smattering of LAUGHS erupt from the boys, quickly silenced by Uran's stare.",1
"Uran hands out RIVER STONES to each boy, ending with Conan.",1
The boys know what to do: they put the large stones in their mouths.,1
URAN,2
In the black crag in the high pass stands a wooden training sword.,3
"The one who claims it, with stone still in his mouth, will have earned the right to train with the warriors.",3
"The boys look at each other, sizing up the competition.",1
URAN,2
Well?,3
What are you waiting for?,3
And off they run.,1
"They knock each other down, punching the other's stomachs, each trying to force the other to expel their stones.",1
One or two succeed.,1
Most of the remaining boys run for the trail that winds high into the mountains.,1
But a few head right for the sheer cliff face.,1
Conan follows the ones headed to the cliff.,1
CLIFF FACE,2
"And when the Cimmerian boys climb, it is a sight to behold.",1
They find cracks we can barely see and scale the smooth rock face as though it were a ladder.,1
"The hulking teen reaches for the same handhold as Conan, trying to knock him off.",1
Conan swings with one hand and finds another path.,1
In moments he is ahead.,1
EXT.,5
FOREST,5
DAY,6
"Conan is in the lead as he crests the cliff top, the bigger boys right behind him.",1
"They race through the forest, heading uphill when Conan spots movement ahead.",1
He pauses.,1
"And the largest teen elbows past Conan, into the lead.",1
"The boy runs two paces more and suddenly flies off his feet, an AXE lodged squarely in his forehead.",1
All the boys stop.,1
"Out of the dense forest come FOUR PICTISH SAVAGES Covered with fearsome war paint and armed with dual hand axes, the rotting heads of their enemies are slung at their waist.",1
The boys spit out the rocks in their mouths and YELL.,1
They turn and run in the opposite direction.,1
"Only Conan doesn't move, even as another boy pulls at him.",1
CIMMERIAN BOY,2
Conan!,3
Run!,3
But Conan simply pulls the axe from his large boy's skull.,1
"He turns to face the Picts, his eyes burning.",1
The Picts LAUGH and CHARGE CONAN.,1
CUT TO:,0
LATER,6
Corin arrives with Uran and other armed CIMMERIAN WARRIORS.,1
"They get a brief glimpse of a single PICT, escaping in the other direction.",1
One of the Cimmerians takes off in pursuit.,1
Corin desperately searches for his son.,1
CORIN,2
Conan?,3
Conan?,3
"Conan steps forward from out of a thicket, his body covered in Pict blood.",1
"Three PICTS lie massacred, the bodies hacked to pieces.",1
CORIN,2
"What have you done, boy?",3
"Conan walks past the other stunned Cimmerians, up to his father.",1
Conan SPITS OUT the bloody stone from his mouth.,1
CONAN,2
They killed one.,3
I killed three.,3
I am a warrior now.,3
Uran and the other Cimmerian men exchange worried glances.,1
"Looking at the carved up bodies of the Picts, they are aghast.",1
Conan looks confused.,1
CORIN,2
A warrior?,3
What you have done a jackal would do.,3
Never a warrior.,3
CONAN,2
CORIN,2
"They would have done the same, As I said, jackals.",3
(TO URAN),4
He is not ready.,3
I will forge him myself.,3
CUT TO:,0
TRAINING MONTAGE:,0
Why aren't they happy?,1
Conan is tested under Corin's watchful eye.,1
"Forced to sleep in the snow, while his father keeps warm inside.",1
A heavy boulder on his shoulder blades while he balances on wet river rocks.,1
"Climbing A cliff face, his bare hands leaving blood behind on the jagged rocks.",1
INT.,5
CIMMERIAN FORGE,5
DAY,6
Flames reflect in the blue eyes of Conan as he works the bellows of the forge.,1
Sparks buzz like angry fireflies as he stokes the blaze.,1
"Corin sharpens a sword, perfecting it.",1
"Conan cannot take his eyes off it, stepping away from the bellows.",1
CORIN,2
"Stoke your fire, boy.",3
"Conan slams the bellows closed, anger rising.",1
CONAN,2
"""Stoke your fire, chop your wood.""",3
I have slept where wolves dare not.,3
I have balanced a thousand river stones.,3
When will you teach me the sword?,3
Corin stares his son in the eyes.,1
Judging.,1
CORIN,2
Think you're ready?,3
Then tell me: what is a sword's purpose?,3
CONAN,2
To slay ones enemies.,3
CORIN,2
No.,3
That is what it does.,3
Its purpose is why you use it.,3
He tosses Conan two lumps of ore.,1
CORIN,2
"Tell me, which makes the best sword?",3
"Conan takes the two lumps, testing them.",1
He hands his father back one.,1
CORIN,2
"The stronger ore, eh?",3
"Then we shall make a sword of it, and tomorrow you will show me what brute strength yields.",3
CUT TO:,0
EXT.,5
FIELD,5
DUSK,6
"With a setting sun silhouetting the two, Conan attacks Corin.",1
Conan attacks with fury.,1
Corin defends with grace.,1
Until the boy overextends and Corin slashes down a counterattack that SHATTERS CONAN'S SWORD.,1
"Corin simply turns and walks away, leaving Conan to puzzle what happened.",1
"Corin lowers his sword and walks away, leaving Conan to puzzle what happened.",1
INT.,5
CORIN'S FORGE,5
NIGHT,6
"Conan works the bellows, putting his back into it.",1
Corin places both ores in the furnace where they begin to melt.,1
CONAN,2
Why did it break?,3
CORIN,2
Because it had no life.,3
CUT TO:,0
Sparks fly as Corin pounds on the glowing edge of the sword with hammer.,1
"Corin nods at Conan, who sprinkles the glowing blade with ash.",1
CORIN ,2
"The strongest blade isn't made of the hardest steel, boy.",3
The hardest ore is what a man will die for.,3
It is strong and unyielding.,3
It neither cowers nor concedes.,3
