script,label
 FADE IN,0
 on the words CZECH AIRLINE,0
  We are panning across the words on the side of the plane,0
 INT,5
 AIRPLANE,5
 ANGLE DOWN,0
 on a tray table,1
  Crumpled Czech bills and coins are on it,1
  Hands are counting the money,1
  The airline hostess announces the arrival at JFK - in CZECH,1
  A hand reaches into a breast pocket - pulling out two passports,1
  One is opened,1
  Belongs to EMIL SLOVAK,1
  The next passport belongs to OLEG RAZGUL,1
  The hand passes the Oleg Razgul passport to the man next to him,1
  We notice several empty airline bottles of vodka and a small disposable camera on Oleg's tray table,1
  The passport is set down,1
  Oleg picks it up,1
  We hear Emil's voice in CZECH,1
  The scene is subtitled in ENGLISH,1
EMIL (V,2
O,2
),2
Just do what I do,3
 Say the same thing I say,3
 Don't open your mouth,3
OLEG (V,2
O,2
),2
Okay,3
 INT,5
 PASSPORT CONTROL - KENNEDY AIRPORT - DAY,5
 CAMERA DOLLIES down a long line of passengers,1
"  They are split into two lines - one for Americans, the other for visitors",1
  CAMERA finally arrives at EMIL SLOVAK,1
  An unshaven Czech in his mid-30's,1
"  Tall, scraggly beard",1
  Piercing blue eyes,1
  He's dressed in an outdated suit,1
"  His eyes are alert, cunning and smart",1
" OLEG RAZGUL, stands in line behind Emil",1
  Oleg is big,1
  Not tall - but wide,1
  A wrestler's body,1
  Emil looks at Oleg,1
  The following is in CZECH and subtitled in ENGLISH,4
EMIL,2
Don't fool around,3
OLEG,2
Okay,3
 Oleg holds up his disposable camera - at arms length - to take a picture of himself,1
EMIL,2
Did you hear what I said?,3
OLEG,2
I want to document my trip to America,3
IMMIGRATION OFFICER,2
Next,3
  Emil steps up,4
" Could I see your documents, please?",3
EMIL,2
Yes sir,3
 He hands the passport to the officer who runs it through an image swipe,1
  Emil glances furtively back to Oleg,1
IMMIGRATION OFFICER,2
What is your intended purpose of your visit to the United States?,3
EMIL,2
Two weeks holiday,3
IMMIGRATION OFFICER,2
How much money are you carrying with you?,3
EMIL,2
I have five-hundred dollars,3
IMMIGRATION OFFICER,2
"Can you show me? Sir, no cameras in the FIS area!",3
 Oleg was about to take a picture of Emil and the Immigration Officer,1
  Oleg puts the camera away,1
  Smiles sheepishly,1
IMMIGRATION OFFICER (CONT'D),2
 to Emil,4
 Is he with you? Are you travelling together?,3
EMIL,2
Yes,3
IMMIGRATION OFFICER,2
Please join us,3
  to Oleg,4
 Come on forward,3
EMIL,2
Is there a problem?,3
IMMIGRATION OFFICER,2
"No, you're travelling together",3
 I want to talk to you together,3
" Hi, how are you? Can I take a look at your documents?  takes Oleg's passport",3
 Are you related?,3
OLEG,2
Yes,3
he's my friend,3
IMMIGRATION OFFICER,2
Okay,3
 You're a Czech national and you're a Russian national,3
 How do you know one another?,3
" Oleg starts to speak, but Emil cuts him off",1
EMIL,2
We are both from Prague,3
IMMIGRATION OFFICER,2
 to Oleg,4
 How long are you planning to stay?,3
EMIL,2
Two weeks,3
IMMIGRATION OFFICER,2
"I'd like to speak for himself, okay?",3
EMIL,2
He doesn't speak English,3
OLEG,2
I speak English,3
IMMIGRATION OFFICER,2
 to Oleg,4
 Then answer my questions,3
 Where were you planning to stay during the two weeks that you're here?,3
OLEG,2
New York,3
IMMIGRATION OFFICER,2
"Yes, we're in New York now",3
 But where are you planning to stay in New York?,3
OLEG,2
A cheap hotel,3
IMMIGRATION OFFICER,2
What are you coming here to do?,3
OLEG,2
I'm here for movies,3
IMMIGRATION OFFICER,2
Movies,3
to be in the movies or to see movies?,3
OLEG,2
Yes,3
 No,3
 Both,3
" When I was a boy, I see movie at school called ""It's a Wonderful Life"" directed by Frank Capra",3
  Ever since I want to come to America,3
  Land of the free,3
 Home of the brave,3
 A land where anyone can be anything,3
 As long as they are white,3
IMMIGRATION OFFICER,2
Excuse me?,3
EMIL,2
"He made joke, bad joke",3
 First time on airplane,3
 The SUPERVISOR comes over to see what the problem is:,1
IMMIGRATION OFFICER,2
"Well, they've got valid visas, but they don't have much money",3
 Uh,3
 and I'm not,3
"uh, I think there's a possibility they may be coming to live and reside",3
SUPERVISOR,2
Look how long the line is,3
 We gotta move 'em out,3
 I'll take them down to secondary,3
" Emil looks at Oleg, pissed",1
 INT,5
 P,5
B,5
 HERMAN'S RESTAURANT - DAY,5
 The place is empty except for one table at the end of the bar,1
"  EDDIE FLEMMING, Manhattan's most famous detective, and his savvy, black partner, LEON JACKSON are having cocktails",1
"  Eddie is smoothly handsome, tough, smart and tired",1
"  Not only is he the best homicide detective Manhattan has ever seen, he's continually mentioned in New York columns and has been the subject of several magazine articles",1
  There's even been a TV movie about one of his biggest cases,1
  Leon has been with Eddie a long time and was also featured in the TV movie,1
" Sitting with Eddie and Leon is ROBERT HAWKINS, host and star reporter for the tabloid show, ""Top Story",1
"""  Hawkins is also the best in the business and has dealt with them all: Joey Buttafuco and Amy Fisher, Lorena Bobbit and OJ",1
 Wait staff bustles in the b,1
g,1
 doing the morning set up,1
"  Hawkins listens as Eddie, cigar in hand, finishes a ""war story"" and a vodka tonic at the same time",1
EDDIE,2
So we're waitin' to hit this warrant - we got Emergency Service with the heavy weapons standin' by - ready to go,3
" I say, lemme get a cigar outta the car",3
 I go to get the cigar and BOOM! All the sudden I turn around and a kid with a shotgun let one go,3
 Right where I was standin',3
 That coulda been it,3
" I coulda had my head blown off and for what? Some stupid kid got panicky, takes the safety off and it's over",3
 If I hadn't gone back for that cigar - for a bad habit - I would've had my head blown off,3
HAWKINS,2
Jesus Christ,3
" PAULIE, the owner, walks up",1
PAULIE,2
"Speakin' of bad habits, everybody okay?",3
HAWKINS,2
Another martini,3
LEON,2
"Coffee for me, I gotta slow down",3
EDDIE,2
Vodka tonic,3
LEON,2
 rethinks it,4
 Maybe you could just put in a shot of Martell?,3
 Paulie takes the drinks off the table and an empty bottle of vodka,1
LEON (CONT'D),2
 of Eddie's story,4
" It was freaky, I'll tell you",3
 Stupid kid,3
EDDIE,2
What's the kid gonna say - sorry?  Meanwhile I'm not here anymore,3
  Like last week - we were at the morgue and this guy was all chopped up - spleen here - liver there - his heart in a pan,3
  Six hours ago this guy was walkin' his dog or buyin' a quart of milk,3
 Who knows? But some kid's robbed him for $3 or some shit and shot him and now you can't tell if he's a piece of beef or a human being and I'm thinkin' that's me,3
  Sooner or later,3
 That's me,3
 ,0
HAWKINS,2
Sooner or later that's everybody,3
 ,0
EDDIE,2
Not chopped up,3
 Not chopped up like that,3
" I mean, what do I got left?  Coupla articles",3
 A medal or two,3
  Plaque here and there and in a coupla years no one remembers me anymore,3
HAWKINS,2
"I think you're getting a little moody there, Eddie",3
EDDIE,2
I'm not moody,3
 Hawkins and Leon share a look,1
HAWKINS,2
Isn't he a little moody?,3
