script,label
"17th January, 1983",0
ALEXANDER SALKIND presents,0
SUPERGIRL by,0
David Odell,0
Copyright 1983,0
CANTHARUS PRODUCTIONS N.V.,0
All Rights Reserved,0
EXT. SPACE,0
THE CAMERA PULLS BACK. . .,0
INT. ARGO CITY,5
AND REVEALS THE inside of a domed city honeycombed with fantastic arches,1
The city is inhabited by young beautiful people in luxurious but simple costumes,1
"THE CAMERA ROAMS through the City, observing some people seated at a kind of cafe sipping drinks and relaxing other people are in some kind of exercise class doing beautiful graceful movement and finally a class of five year old children listen intently to a teacher who is demonstrating a molecular model",1
TEACHER,2
"And now, who can give me the electron wave functions for Kryptonian covalent bonding?",3
The five year olds eagerly raise their hands,1
The teacher points to one,1
CHILD,2
The cube root of the wavelength over the natural log of the integral of the speed of light squared,3
The teacher smiles,1
TEACHER,2
"Well, maybe that was a bit too easy",3
"THE CAMERA ROAMS ON through the city, following the sound of a strange, ethereally beautiful singing",1
The CAMERA discovers the source of the sound an ARTIST sculpting a beautiful crystalline object with a MATTERWAND,1
The wand makes the singing noise as it creates matter out of energy,1
"The Artist, whose name is ZALTAR, sometimes whistles along in counterpoint",1
A small girl is watching him with fascination,1
"Her name is Kara, and she is seven",1
"Behind her, the dome, which encloses the City, marks the edge of the limbo outside",1
KARA,2
What are you making,3
ZALTAR,2
"It's going to be a tree, I think",3
KARA,2
What's a tree?,3
ZALTAR,2
It's something they have on Earth,3
"You know, where your cousin went",3
KARA,2
Where is Earth?,3
ZALTAR,2
Didn't you study six-dimensional geometry in school?,3
KARA,2
"Yes, I know the equations---I just can't see it in my head",3
Zaltar laughs,1
ZALTAR,2
Even I have trouble with that sometimes,3
Earth is in outer space,3
And we're in inner space,3
KARA,2
I don't understand,3
ZALTAR,2
Wait till you're older,3
Here -- watch this,3
Zaltar takes a small OMEGAHEDRON out of his pocket and holds it in his hand,1
ZALTAR.,2
This is one of the four Power Sources of the City,3
I borrowed it from the Guardians,3
Look what I can do with it,3
Zaltar touches his MATTER,1
WAND to the OMEGAHEDRON and the wand instantly becomes charged with flickering light,1
He touches his wand to the tree sculpture---and the sculpture comes alive with dancing lights and shadows,1
Kara claps her hands with delight at the spectacle,1
Zaltar steps back and admires his handiwork,1
He carefully puts down the,1
"OMEGAHEDRON at his feet, takes a small flask from his belt, and drinks",1
ZALTAR,2
"You see, a tree is a living thing",3
KARA,2
Can you create life?,3
ZALTAR,2
"No, no, just the illusion of life",3
"A kind of half-life, maybe",3
A pale shadow of the real thing,3
"But it is lovely, the way the light plays over the surface",3
A woman's voice can be heard calling in the distance,1
WOMAN'S VOICE,2
Kara,3
Kara,3
Kara calls out in reply,1
KARA,2
"I'm here, mother",3
Kara's mother ALURA appears through the lacey architecture of the city,1
ALURA,2
"Kara, you shouldn't be so near the Edge without a grown-up",3
KARA,2
"I'm sorry, Mother",3
ZALTAR,2
I was keeping an eye on her,3
"Alura puts her arm around her daughter affectionately, showing she's not really angry",1
"Together they watch Zaltar's latest sculpture, flickering with the play of inner light and shadow",1
ALURA,2
"Thank you, Zaltar, but she has to obey the rules",3
Zaltar takes another swig from his flask and lowers his voice confidentially,1
ZALTAR,2
"You and your husband have been kind to me,",3
Alura,3
I have something to tell you,3
I'm going away,3
Soon,3
ALURA,2
But where?,3
Zaltar bends down to Kara and hands her his matterwand,1
ZALTAR,2
"Put your fingers there, Kara",3
And press hard,3
"She does, and the wand makes a horrible squawk",1
Kara laughs with delight,1
ZALTAR,2
Good,3
"Now, go make something pretty",3
"Kara scampers away, hardly able to believe her good fortune, and starts to make all kinds of surprising sounds with the wand on the plaza nearby",1
"Zaltar speaks to Alura in a low, confidential voice",1
ZALTAR,2
I've discovered a new way into the Phantom,3
Zone,3
ALURA,2
But the phantom Zone is for criminals,3
ZALTAR,2
It's big,3
And empty,3
I'm tired of limiting myself to  Argo City,3
I want to do something new,3
"I'm starting to repeat myself here with this airy, glittery stuff",3
Zaltar waves a hand deprecatingly at the city around him,1
ALURA,2
But Zaltar---you founded the city! It's yours,3
"We were all just refugees from Krypton when you gathered us together and brought us here, to the inner dimension",3
You can't abandon us now,3
You have a responsibility to us!,3
"In the background, Kara has been modeling a spiky insect-like CREATURE",1
Now she suddenly finds the OMEGAHEDRON on the ground beside her,1
She doesn't stop to wonder how it got there from beside Zaltar's feet,1
She simply picks up the OMEGAHEDRON and touches it to the spiky creature,1
