SURROGATES,0
Written by,0
John Brancato & Michael Ferris,0
Based on the graphic novel,0
"""THE SURROGATES""",0
By,0
Robert Venditti,0
16-Oct-07,6
FADE IN ON:,0
EXT,0
CITY STREETS - NIGHT -- MOVING,5
A DISTORTED IMAGE of downtown city streets at night,1
"This is not a FISHEYE LENS, but the REFLECTION in the mirrored surface of a helmet visor",1
EXT,0
LUXURY BUILDING - NIGHT,5
A near-future MOTORCYCLE stops near a dramatic HIGH-RISE,1
RESIDENTIAL BUILDING,5
"The rider, clad in black leather, climbs off his machine",1
We'll call him the ASSASSIN,1
He flips up his VISOR,1
"His face is scarred, stubbly",1
"He conceals himself in an alcove, eyes never leaving the building's entrance",1
A uniformed DOORMAN opens the high-rise's lobby door for a HANDSOME YOUNG MAN in a TUXEDO and TRENCHCOAT,1
THE ASSASSIN has been waiting for this,1
"He removes what looks like a rifle scope from his jacket, aims it at",1
TUXEDO.,1
"SCOPE POV - focusing on TUXEDO'S FACE, magnified",1
A digital readout,1
"""SCANNING",1
""" Then a long SERIAL",1
"NUMBER reads out and the name, ""LIONEL ALEXANDER CANTER,"" along with other personal information below",1
"THE ASSASSIN puts away the scanner scope, satisfied",1
"He reaches a hand into a pocket, withdraws a mysterious",1
DEVICE,1
"The size of a first generation cellphone, it has a military look, with a clear sliding panel over safety switches and buttons",1
"The ASSASSIN hurries toward TUXEDO, but before he can",1
REACH HIM--,1
"A sleek, futuristic LIMOUSINE pulls up and TUXEDO gets in the back",1
They're gone in an instant,1
"The ASSASSIN, frustrated, dashes for his MOTORCYCLE",1
He starts it and pursues the limousine,1
,0
,0
,0
,0
2,0
EXT,0
WASHINGTON D.C. - NIGHT,5
"THE MOTORCYCLE pursues the LIMOUSINE along the Potomac,",1
D,1
C,1
LANDMARKS visible in the distance,1
EXT,0
KENNEDY CENTER - NIGHT,5
"FORMAL CROWDS, a RED CARPET, signs for an OPERA",1
The,1
LIMOUSINE approaches,1
INT,0
LIMOUSINE - NIGHT,5
"TUXEDO leans forward to the DRIVER, a muscular, handsome man in a suit named ARMANDO",1
TUXEDO,2
"I'm not really in the mood for opera, Armando",3
ARMANDO nods knowingly pulls back into traffic,1
ARMANDO,2
F Street?,3
TUXEDO,2
(UNDOING BOWTIE),4
You read my mind,3
Let's not mention this to my Dad,3
"As he speaks, he passes a few BILLS over the seat",3
EXT,0
WAREHOUSE DISTRICT - NIGHT,5
"THE LIMO moves through this seemingly deserted area, pulls up near a STEEL DOOR with a spray-painted X",1
"TUXEDO emerges sans jacket and tie, his dress-shirt open",1
TUXEDO,2
I can find my way back,3
ARMANDO nods and pulls away,1
"TUXEDO moves toward the entrance, says a word into an INTERCOM with a",1
SURVEILLANCE CAMERA,1
"The door opens within moments, he disappears inside",1
"THE ASSASSIN parks his bike, a few steps behind",1
Tuxedo has vanished through the STEEL DOOR before he can catch up with him,1
(CONTINUED),4
,0
,0
,0
,0
3,0
CONTINUED:,0
"The ASSASSIN takes off his helmet, tries the door",1
It won't move,1
He buzzes the intercom,1
The DOOR slides open a crack--,1
"THE BOUNCER is a huge, bald man with JET BLACK skin, RED",1
EYES and TEETH that glow fluorescently,1
The THROBBING,1
BEAT of MUSIC within,1
The BOUNCER narrows his eyes,1
BOUNCER,2
This is a private club,3
ASSASSIN,2
I just need to talk to--,3
THE STEEL DOOR has already shut in his face,1
INT,0
THE PIT - NIGHT,5
POUNDING MUSIC,1
"BODIES SLAM together in a brutal mosh pit, MEN and WOMEN",1
"All are young, some beautiful, others extremely decorated and pierced",1
"They tear at each other brutally, trying to do real damage",1
"On the edges of the pit, individual FISTFIGHTS go on",1
"An incongruous CHANDELIER overhead, gilt-edged MIRRORS on the walls-- the FIGHTERS SLAM INTO and SHATTER them",1
A HARD-CORE BAND plays on an elevated stage,1
The,1
"MUSICIANS are heavily punked out, in outlandish clothes, with pierced faces, tattoos and body make-up",1
"IN A VIP AREA, a balcony elevated above the stage, numerous BEAUTIFUL PEOPLE at tables",1
"Many are making out, gay, straight, threesomes-- orgies happen up here",1
TUXEDO sits by himself,1
"He raises a GLASS TUBE attached to a CORD, one of a few leading into an ELECTRONIC DEVICE on the table",1
"As he brings the tube close to his own neck, an ARC of electricity jumps to his skin",1
"His features go slack, a shudder goes through him",1
Then he lowers the tube with a smile,1
He's using a JACKER-- a sort of electro-shock hookah,1
A SHOUT over the MUSIC,1
BLONDE,2
Mind if I join you?,3
"A stunningly beautiful BLONDE in edgy, dramatic clothes stands nearby",1
"Tuxedo, recovering from the hit, gestures graciously for her to sit",1
"She picks up one of the cords, gives him a sly smile",1
"She opens her mouth,",1
SPARKS fly to her tongue and--,1
CUT TO:,0
,0
,0
,0
,0
4,0
EXT,0
ALLEYWAY - NIGHT,5
"RAIN pours down as TUXEDO and the BLONDE burst out the door, laughing",1
"He pushes her against a brick wall, they grope each other hungrily, hands inside clothes, getting drenched in the warm downpour",1
"WITH THE ASSASSIN, wearing his HELMET with the VISOR UP, as he approaches the entwined couple",1
"TUXEDO hears him,",1
TURNS--,1
TUXEDO,2
"Get lost, meatbag",3
EXT,0
WAREHOUSE DISTRICT - NIGHT,5
ANGLE ON the alley's mouth as we hear the BLONDE'S,1
SCREAM,1
"Seconds later she staggers out, clutching her head, and collapses to the pavement",1
We hear an ENGINE,1
START from the alleyway,1
"THE ASSASSIN emerges on his bike, rides directly over her body unconcerned-- and ROARS into the night",1
CAMERA PULLS UP to--,1
EXT,0
WASHINGTON D.C. - NIGHT,5
#NAME?,1
HIGH-RISES amongst the recognizeable landmarks,1
"Also, a great number of SUPER-CELL TOWERS and DISHES, considerably larger than the ones we see today",1
"CAMERA PICKS UP SPEED, moves quickly to a run-down part of the city, tenements and vacant lots",1
MOVE DOWN and through a third-story window of--,1
INT,0
ABANDONED PROJECT BUILDING - NIGHT,5
"A dark, decaying hallway",1
"A MAN and a WOMAN move stealthily up the stairs, LASER-SIGHT GUNS in hand",1
"The man is THOMAS GREER, the woman JENNIFER PETERS",1
"Both are about 30, handsome, athletic",1
Greer's spent his life in law enforcement,1
"He's smart and able, wants things to make sense-- but as the world changes around him, he feels he's losing the thread",1
"PETERS is junior to Greer, her attitude's professional but rigid, by the book",1
(CONTINUED),4
,0
,0
,0
,0
5,0
CONTINUED:,0
"GREER, in the lead, waves PETERS up",1
They approach a door at the end of the hall,1
"We see now that their windbreakers read ""FBI",1
"""",1
GREER kicks open the door--,1
INT,0
PSYCHO'S LAIR - NIGHT,5
"Lit by CANDLES and KEROSENE LANTERNS, SMOKE HANGS in the room",1
We glimpse BODIES hanging from the ceiling in,1
CHAINS,1
"GREER and PETERS train their LASERS around the place, disturbed by the scene",1
A flash of MOVEMENT in a bedroom and a CRASH--,1
"THE PSYCHO who lives here has kicked over a LANTERN, FIRE spills across the floor",1
"We glimpse a surprisingly good- looking guy, grinning maniacally",1
He dashes across the,1
ROOM--,1
GREER squeezes off a couple of SHOTS,1
"The PSYCHO's too fast, he LEAPS through a cracked WINDOW",1
EXT,0
ABANDONED PROJECTS - NIGHT,1
RAIN has let up,1
The PSYCHO FALLS thirty feet into a pile of soft DIRT and TRASH,1
"He rolls to the bottom, gets to his feet and runs",1
GREER looks down from the broken window,1
INT,0
PSYCHO'S LAIR - NIGHT,5
"PETERS is beating at the FLAMES with a towel, sees Greer is preparing to jump",1
PETERS,2
Let's call for back-up,3
GREER,2
Where' s the sport in that?,3
PETERS,2
IT'S PROTOCOL--,3
GREER SNORTS and--,3
EXT,0
ABANDONED PROJECTS - NIGHT,5
#NAME?,1
He reaches the ground and sets off after the PSYCHO at top speed,1
(CONTINUED),4
,0
,0
,0
,0
6,5
