script,label
30,0
"MINUTES OR LESS



",0
Written,0
by,0
  Michael Diliberti & Matthew Sullivan,0
"        12-11-09
   The following is very loosely based on some shit that actually   happened",0
OVER,0
BLACK,0
"We hear the roar of a V8 engine, piped out through some   throaty, fucked up muffler, as",0
EXT,5
 HIGHWAY - DAY,5
An '89 Mustang bursts like a shot over a rise in the highway,1
"   It's got a rusted two-tone paint job, Maryland plates, and   bald tires that scream as it peels off an exit and into the",1
EXT,5
 SUBURBS - DAY,5
"The car fast approaches a stop sign, dangerously blows through   the intersection",1
INT,5
 MUSTANG - DAY - MOVING,5
"We don't see the DRIVER, only the redlining RPMs, Vans slip-   ons working the pedals, wristwatch being checked",1
 The wheel   cranks right as the car turns onto a -,1
One way street,1
 A minivan flies right at us,1
" The Mustang   hops up onto the curb to avoid it, clips a trash can and -",1
Garbage explodes like confetti,1
" The wipers engage, brushing   the trash aside",1
 The car whips another turn and,1
EXT,5
 SUBURBS - DAY,5
The Mustang fishtails around a corner and skids away,1
CUT,0
TO:,0
TIRES,5
SCREECH,5
Brake pads smoke,1
 The Mustang stops outside,1
EXT,5
 HOUSE - DAY,5
The Driver jumps out of the car,1
" As he rushes to the front   door, we see the urgent package he is delivering",1
TWO LARGE PIZZAS,5
"Before he can ring the bell, the door opens and two smug 15-   YEAR-OLDS stare out",1
15-YEAR-OLD,2
That's 34 minutes,3
 You're 4 minutes late,3
 Pizza's free,3
REVEAL our guy staring back at the kids,1
" This is WILL 25,   probably good looking in another life",1
2,0
"Right now, he is tired and unamused, wearing a red ""Giorgio's   Trattoria"" hat and a sweaty matching t-shirt",1
WILL,2
Gimme a break,3
 You guys live two towns away,3
 It's pretty much fucking impossible to get here in 30 minutes,3
OTHER 15-YEAR-OLD,2
Exactly,3
" That's why we ordered from your shitty ""trattoria""",3
WILL,2
This is gonna come out of my paycheck,3
 You sure you don't want to take the moral high ground?,3
OTHER 15-YEAR-OLD,2
We'd rather take the pizzas,3
Will takes a calming breath,1
 Hands over the pizzas,1
WILL,2
Ok,3
 You guys are pretty smart,3
 You figured out a way to beat the system,3
(PEEKS INSIDE),4
Got the house to yourselves?,3
15-YEAR-OLD,2
That's right,3
WILL,2
Not bad,3
 Any jailbait in there?,3
 Little pizza and a rainbow party?,3
The kids shakes their heads,1
WILL,2
Seriously?,3
" Well, two hustlers like yourselves gotta have the place stocked with beer and whippits and shit, right?",3
 Just call the girls up and let them know the party's on,3
15-YEAR-OLD,2
"Man, we don't have any of that stuff",3
Will makes a show of mulling this over,1
WILL,2
I really shouldn't do this,3
but you seem like a couple of good dudes,3
" I'll tell you what, you give me the money that your mom left you for the pizzas, and I'll grab you some beers",3
(MORE),4
3,0
WILL,2
(CONT'D),2
(BEAT),4
But I get to keep the change as a tip,3
 Deal?,3
The kids look at each other,1
 One hesitantly pulls out some   cash,1
 Will snatches it and heads off,1
WILL,2
I'll see you in like 20 minutes,3
The kids look uncertain,1
" As if sensing this, Will stops   before getting into his ride",1
WILL,2
"You boys like Budweiser, right?",3
15-YEAR-OLD,2
"Uh, yeah, totally",3
OTHER 15-YEAR-OLD,2
Love that shit!,3
INT,5
 MUSTANG - DAY - MOVING,5
The sun sets,1
 Will cruises back into his own middle-class   town in suburban Maryland,1
A six pack of Budweiser rests in the passenger seat,1
Will stops at a light,1
 Checks out a PRETTY YOUNG THING in   the Jeep beside him,1
" She catches him looking, rolls her   eyes",1
 The light turns and the Jeep skids away,1
"Will self consciously removes his ""Giorgio's"" cap",1
INT,5
 GIORGIO'S TRATTORIA - NIGHT,5
Will enters and nods at CHRISTOPHER 40s,1
", the manager",1
 His   balding head is nearly translucent from absorbing a day's   worth of pizza grease,1
WILL,2
"Yo, Chris",3
 Let me cash the fuck out,3
Will hands over some cash to Christopher,1
CHRISTOPHER,2
You have a pretty good shift?,3
WILL,2
For sure,3
" I mean, the part where I had to drop off all those pizzas kinda sucked, but the rest was cool",3
4,0
CHRISTOPHER,2
"Oh, yeah?",3
" 'Cause, I got some kids calling in saying you ripped them off",3
 Promised to buy them beer or something,3
WILL,2
"I actually did buy the beer, but it would have been illegal to give it to them, right?",3
 So I'm gonna do the responsible thing and drink it myself,3
CHRISTOPHER,2
That's real funny,3
 But I'm trying to run a business here,3
WILL,2
What kind of business promises to deliver anywhere in 30 minutes?,3
 It's ridiculous,3
CHRISTOPHER,2
I don't wanna hear another one of your bullshit excuses,3
 You're fired,3
WILL,2
Come on,3
" If I didn't need this job, I wouldn't be doing this shitty job",3
Chris is unmoving,1
WILL,2
Fuck!,3
 Whatever!,3
Will storms off,1
 As he gets to the door -,1
CHRISTOPHER,2
"You know, you were an okay driver half the time",3
 And you're not a Puerto Rican,3
 Which means something to me,3
WILL,2
That's poignant,3
CHRISTOPHER,2
"I guess I could rehire you, on a provisional basis",3
" Of course, this would be at the slightly reduced ""new company rate.""",3
WILL,2
Are you fucking serious?,3
CHRISTOPHER,2
I don't know,3
 Is there anyone else left in town for you to work for?,3
5,0
Will shakes his head,1
 Swallows what's left of his pride,1
WILL,2
When do I start?,3
   EXT,5
 SMALL APARTMENT BUILDING - NIGHT,5
 Will sits on the darkened front stoop,1
 He tosses an empty   can into the bushes and gets to work on his fourth beer,1
   He looks over at a parked Hyundai Elantra,1
 A YOUNG MAN sits   in the passenger seat with a pensive look on his face,1
" He   makes a sudden, surprised gasp",1
 The homely YOUNG WOMAN who   was just blowing him sits up from his lap and rearranges   herself in the driver seat,1
 She leans over for a goodbye   kiss,1
 The Young Man obliges with much fanfare,1
   The Young Man gets out and the car pulls away,1
" This is CHET   (25), a clean cut guy dressed in the Gap Premium Collection",1
"   He heads toward the building, high off his BJ, humming   Outkast's ""Ms.  Jackson.""",1
 He stops when he notices Will in   the shadows,1
CHET,2
What the hell?,3
 Have you just been sitting there?,3
WILL,2
Yep,3
 Caught the whole show,3
 Really classy move at the end,3
" You know, the kiss",3
 Putting your tongue in her mouth right after you fucked it,3
CHET,2
"Hey, a nice girl decides to pleasure me on a weeknight, in her car no less",3
I'm not gonna make her feel like an untouchable,3
 I'm gonna make her feel like a lady,3
WILL,2
What manners,3
" May I offer you some alcohol, sir",3
 To wash the taste of yourself out of your mouth,3
   Will offers his beer,3
" Chet takes a slug, gurgles for effect",3
CHET,2
"By the way, she said she had a friend",3
 Maybe we can go on our first double date since you tried to talk Jackie Fortunato and her cousin into having a four-way with us,3
WILL,2
I misread their body language,3
 It happens,3
6,0
Will picks up some rented movies sitting beside him,1
WILL,2
Come on,3
" Let's go inside, drink your beer and watch shit get crazy",3
(FANS MOVIES),4
Old favorites,3
 You choose,3
" Lethal Weapon, Lethal Weapon 2",3
"was gonna get the third Lethal Weapon, but decided on a porn",3
 So it's really between the first two,3
CHET,2
I choose sleep,3
 I gotta teach a class at eight,3
WILL,2
You're a sub,3
 Just call in sick,3
 Like the real teacher did,3
CHET,2
"Come on, man, you know I got promoted to full-time last month",3
 You bought me a laser pointer,3
Will heaves a sigh,1
WILL,2
"Yeah, I know",3
" I guess I'm just having a hard time accepting you as ""the man",3
""" You know, flunking kids, giving out spite detentions to girls you wanna fuck, laser pointing at shit",3
CHET,2
I also get healthcare and my summers off,3
" It's not perfect, but it's a career",3
Will grudgingly stands up,1
WILL,2
I guess that's just the difference between you and me,3
He holds up the Lethal Weapon DVDs,1
WILL,2
I'm like Riggs,3
 Cruising the streets,3
" No rules, no attachments",3
 Every other day some asshole is trying to take my badge,3
 You're fucking Murtaugh,3
 Always worried about your pension,3
" Well, guess what, it gets old after the first movie",3
7,0
CHET,2
I just got head,3
 I'm totally Riggs,3
"   Will shakes his head, turns and walks off",3
   INT,5
 STUDIO APARTMENT - DAY,5
" Will wakes up, legs dangling over the edge of a tiny couch",1
"   His TV is still on, displaying the menu screen from a porn",1
   Will looks down at his coffee table,1
 Clears some magazines   to reveal a file folder,1
" Flips the cover -   It's full of college applications, drafts of admissions essays,   a junior college transcript",1
 Will thumbs through one of the   glossy applications,1
 The kids look young,1
 Very young,1
"   Will glances over at a picture on his wall: he and Chet at   high school graduation, looking just as young",1
 They have   their arms around a pretty girl squeezed between them,1
 Will   and the girl look very high and very happy,1
"   Will shuts the folder, slides it back under the coffee table   debris",1
 He looks over at a clock: it is already 2:00 PM,1
WILL,2
Fuck,3
   INT,5
 MUSTANG - DAY,5
 Will jumps in and starts the engine,1
" As he tucks his   ""Giorgio's"" cap onto his head, he catches his reflection in   the rear-view mirror",1
WILL,2
You asshole,3
 You titanic asshole,3
 Come on down and get your prize,3
"He makes his fingers into a gun, puts it to his head",1
pulls   the trigger and,1
BOOM!,1
WE'RE,1
IN,1
EXT,5
 OPEN FIELD - DAY,5
"A watermelon explodes in a shower of red, juicy bits",1
" Loud,   dumb laughter echoes",1
"Standing 20 yards away is DWAYNE (32), an intense, meaty guy   in a sleeveless Baltimore Ravens t-shirt",1
 On his left bicep   is a tattoo of the Tasmanian Devil flipping the bird,1
DWAYNE,2
Fruit motherfuckin' salad!,3
8,0
"Crouched beside him is JAY (27), tall and awkward, in a wool   surplus cap",1
" He carefully rigs homemade explosives to another   watermelon, then looks up at Dwayne",1
 His eyes are magnified   into saucers by his thick glasses,1
 There's a peculiar   eagerness to please in them,1
JAY,2
This one's gonna blow even bigger,3
